expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
4/15/2019,2019,NA,NA,Dezirae Alonzo,195,Committee to Elect Christine Alonzo to City Council District 11,City Council,11,NA,Canvasing,Canvassing,4699 Kittredge St,NA,Denver,CO,'80239',No,No,No,Christine Alonzo,NA,NA
4/15/2019,2019,NA,NA,Mad Dog Mail,5112.9,Chris for Denver,City Council,10,NA,Marketing,Marketing and advertising,463688 State Road 200,NA,Yulee,FL,'32097',No,No,No,Chris Hinds,NA,NA
4/15/2019,2019,NA,NA,Hootsuite,45,Hancock for Denver,Mayor,NA,NA,Office Software,Online expense,12 E. 49th St.,NA,New York,NY,'10017',No,No,No,Michael Hancock,NA,NA
4/15/2019,2019,NA,NA,4degre.es,3600,Jamie For Denver,Mayor,NA,NA,Digital Voter Contact,Canvassing,1155 Sherman Street #101,NA,Denver,CO,'80203',No,No,No,Jamie Giellis,NA,NA
4/15/2019,2019,NA,NA,Engage Strategies,6808.5,Tony for Denver,City Council,10,NA,marketing,Marketing and advertising,1312 7th Street #720,NA,Denver,CO,'80202',No,No,No,Tony Smith,NA,NA
4/15/2019,2019,NA,NA,Windsor Gardens,150,Jamie For Denver,Mayor,NA,NA,Hall Rental for Voter Contact,Canvassing,595 S Clinton St,NA,Denver,CO,'80247',No,No,No,Jamie Giellis,NA,NA
4/15/2019,2019,NA,NA,Mobile Broadcast,2400,Jamie For Denver,Mayor,NA,NA,Voter Contact,Canvassing,7 Faneuil Hall,NA,Boston,MA,'02109',No,No,No,Jamie Giellis,NA,NA
4/15/2019,2019,NA,NA,Superior Blue Strategies,3450,Susman for City Council,City Council,5,NA,Direct mailing,Mail,4209 Dandridge Terrace,NA,Alexandria,VA,'22309',No,No,No,Mary Beth Susman,NA,NA
4/15/2019,2019,NA,NA,Superior Blue Strategies,16080,Susman for City Council,City Council,5,NA,Direct mailing,Mail,4209 Dandridge Terrace,NA,Alexandria,VA,'22309',No,No,No,Mary Beth Susman,NA,NA
4/15/2019,2019,NA,NA,Meetup.org,89.94,Denver County Republican Central Committee PAC,NA,NA,NA,Marketing,Marketing and advertising,632 Broadway FL 10,NA,New York,NY,'10012',No,No,No,NA,NA,NA
4/15/2019,2019,NA,NA,Intuit - Quickbooks,17.73,Denver County Republican Central Committee PAC,NA,NA,NA,Office Software,Online expense,2700 Coast Ave,NA,Mountain View,CA,'94043',No,No,No,NA,NA,NA
4/15/2019,2019,NA,NA,Nathan Steele,500,Friends for Kevin Flynn,City Council,2,NA,Campaign management,Staffing,925 E 8th Ave. #105,NA,Denver,CO,'80218',No,No,No,Kevin Flynn,NA,NA
4/15/2019,2019,NA,NA,Apple iTunes,2.99,Ortega at Large,City Council At-Large,NA,NA,Software,Online expense,One Apple Park Way,NA,Cupertino,CA,'95014',No,No,No,Deborah Ortega,NA,NA
4/15/2019,2019,NA,NA,NationBuilder,29,Ortega at Large,City Council At-Large,NA,NA,Web Software,Online expense,520 S Grand Ave,NA,Los Angeles,CA,'90071',No,No,No,Deborah Ortega,NA,NA
4/15/2019,2019,NA,NA,Mad Dog Mail,39029.28,Ortega at Large,City Council At-Large,NA,NA,Mail Development/Distribution,Mail,5542 First Coast Highway #300,NA,Fernandina Beach,FL,'32034',No,No,No,Deborah Ortega,NA,NA
4/15/2019,2019,NA,NA,Sophia Brown,625,Ortega at Large,City Council At-Large,NA,NA,Campaign management,Staffing,324 Uintah St,NA,Colorado Springs,CO,'80903',No,No,No,Deborah Ortega,NA,NA
4/15/2019,2019,NA,NA,Legacy Independent Expenditure,39610.17,Friends for Denver's Future Independent Expenditure Committee,Mayor,NA,NA,Mail to Oppose Michael Hancock,Mail,NA,NA,NA,NA,NA,No,No,Yes,Michael Hancock,NA,Oppose
4/15/2019,2019,NA,NA,Legacy Independent Expenditure,3000,Friends for Denver's Future Independent Expenditure Committee,Mayor,NA,NA,Digital to Oppose Michael Hancock,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Michael Hancock,NA,Oppose
4/15/2019,2019,NA,NA,Legacy Independent Expenditure,5710.2,Friends of Mike Somma,City Council,1,NA,Mailers - Postcards to Support Michael Somma,Mail,NA,NA,NA,NA,NA,No,Yes,No,Michael Somma,NA,Support
4/14/2019,2019,NA,NA,Lyft,10.98,McCarthy for Denver Clerk,Clerk and Recorder,NA,NA,transportation,Travel,"185 Berry St #5000,",NA,San Francisco,CA,'94107',No,No,No,Sarah McCarthy,NA,NA
4/14/2019,2019,NA,NA,E-18 Media,10482.1,Fire Fighters Interested in Registration and Education,NA,NA,NA,Video Production Services In-Kind Contrib. to Somma for Denver City Council,Marketing and advertising,1750 New York Avenue,NA,Washington,DC,'20006',No,No,No,NA,NA,NA
4/13/2019,2019,NA,NA,Vistaprint,2354.35,Erik Penn for Denver City Council District 8,City Council,8,NA,Marketing Materials,Marketing and advertising,95 Hayden Ave,NA,Lexington,MA,'02421',No,No,No,Erik Penn,NA,NA
4/12/2019,2019,NA,NA,Daniel Aschkinasi,2500,Susman for City Council,City Council,5,NA,Campaign management,Staffing,655 Washington St. #3A,NA,Denver,CO,'80203',No,No,No,Mary Beth Susman,NA,NA
4/12/2019,2019,NA,NA,Ground Organizing for Latinos,17703,Hancock for Denver,Mayor,NA,NA,Outreach,Outreach,3960 West 44th Ave.,NA,Denver,CO,'80205',No,No,No,Michael Hancock,NA,NA
4/12/2019,2019,NA,NA,Mad Dog Mail,5112.9,Chris for Denver,City Council,10,NA,Mail,Mail,463688 State Road 200,NA,Yulee,FL,'32097',No,No,No,Chris Hinds,NA,NA
4/12/2019,2019,NA,NA,Lyft,27.52,Tony Pigford,City Council At-Large,NA,NA,Transportation,Travel,1401 Zuni St #105,NA,Denver,CO,'80204',No,No,No,Anthony Pigford,NA,NA
4/12/2019,2019,NA,NA,Molly Diaz,250,Tony Pigford,City Council At-Large,NA,NA,Video Production,Marketing and advertising,1620 S. Quebec Way #4,NA,Denver,CO,'80231',No,No,No,Anthony Pigford,NA,NA
4/11/2019,2019,NA,NA,Pat Lombardi,1520,Together Denver,NA,NA,NA,Graphic design,Marketing and advertising,765 Barberry Cir.,NA,Lafayette,CO,'80026',No,No,No,NA,NA,NA
4/11/2019,2019,NA,NA,Aristotle,150,Tony Pigford,City Council At-Large,NA,NA,Software,Online expense,"205 Pennsylvania Ave, SE",NA,Washington,DC,'20003',No,No,No,Anthony Pigford,NA,NA
4/11/2019,2019,NA,NA,GODADDY,62.46,Lopez for Denver,Clerk and Recorder,NA,NA,Web Svcs,Online expense,14455 North Hayden Road Suite 100,NA,Scottsdale,AZ,'85260',No,No,No,Paul López,NA,NA
4/11/2019,2019,NA,NA,Molecule Café,2.97,Annie for Denver District 3,City Council,3,NA,Graphic design,Marketing and advertising,1201 Santa Fe Dr Suite A,NA,Denver,CO,'80204',No,No,No,Annamarie Martinez,NA,NA
4/11/2019,2019,NA,NA,Canva,26,Annie for Denver District 3,City Council,3,NA,Photos,Marketing and advertising,333 Brannan Street,NA,San Francisco,CA,'94107',No,No,No,Annamarie Martinez,NA,NA
4/11/2019,2019,NA,NA,TURN IT BLUE DIGITAL TOOL KITS,3181.5,Somma for Denver District 1,City Council,1,NA,MAILINGS,Mail,"1919 14TH STREET, SUITE 700",NA,Boulder,CO,'80302',No,No,No,Michael Somma,NA,NA
4/11/2019,2019,NA,NA,Doan Design,382.5,Wayne New for City Council,City Council,10,NA,Campaign Ad,Marketing and advertising,1682 East Euclid Avenue,NA,Centennial,CO,'80121',No,No,No,Wayne New,NA,NA
4/11/2019,2019,NA,NA,Glendale Cherry Creek Chronicle,3050,Wayne New for City Council,City Council,10,NA,Campaign Ad,Marketing and advertising,"2110 South Ash Street, Suite 22",NA,Denver,CO,'80222',No,No,No,Wayne New,NA,NA
4/11/2019,2019,NA,NA,C & D Printing,9544.49,Jamie For Denver,Mayor,NA,NA,Campaign Materials & Mailing,Mail,5351 Tennyson St #1c,NA,Denver,CO,'80212',No,No,No,Jamie Giellis,NA,NA
4/11/2019,2019,NA,NA,Mad Dog Mail,39029.28,Ortega at Large,City Council At-Large,NA,NA,Mail Piece,Mail,5542 First Coast Highway #300,NA,Fernandina Beach,FL,'32034',No,No,No,Deborah Ortega,NA,NA
4/10/2019,2019,NA,NA,WizBang Solutions,899.94,Wayne New for City Council,City Council,10,NA,Campaign Ad,Marketing and advertising,6747 East 50th Ave,NA,Commerce City,CO,'80022',No,No,No,Wayne New,NA,NA
4/10/2019,2019,NA,NA,Office Depot,155.39,Committee To Elect Chairman Seku,Mayor,NA,NA,Copying campaign literature,Supplies,7305 East 36th Ave Suite 1,NA,Denver,CO,'80238',No,No,No,Stephan  Evans,NA,NA
4/10/2019,2019,NA,NA,URBN Brands LLC,468.8,Tony Pigford,City Council At-Large,NA,NA,Graphic Design,Marketing and advertising,1532 Emerson S,NA,Denver,CO,'80218',No,No,No,Anthony Pigford,NA,NA
4/10/2019,2019,NA,NA,Centennial Media & Communications,98592,Together Denver,NA,NA,NA,Direct mail,Mail,2260 S Monroe St.,NA,Denver,CO,'80210',No,No,No,NA,NA,NA
4/10/2019,2019,NA,NA,Lauren Metzger Design,210,Let Denver Vote,NA,NA,NA,Design Work,Marketing and advertising,P.O Box 3571,NA,Telluride,CO,'81435',No,No,No,NA,NA,NA
4/10/2019,2019,NA,NA,Canva,1,Denver Psilocybin Initiative,NA,NA,NA,Graphic Design,Marketing and advertising,2 Lacey St. Level 2,NA,Surrey,AS,'02010',No,No,No,NA,NA,NA
4/10/2019,2019,NA,NA,Twilio,180,Lisa For Denver Mayor,Mayor,NA,NA,Voter Contact,Canvassing,3280 Peachtree Rd 7thFl,NA,Atlanta,GA,'30305',No,No,No,Lisa  Calderón,NA,NA
4/10/2019,2019,NA,NA,Heroku,2.68,Lisa For Denver Mayor,Mayor,NA,NA,Voter Contact,Canvassing,1 Market Street,NA,San Francisco,CA,'94105',No,No,No,Lisa  Calderón,NA,NA
4/9/2019,2019,NA,NA,Lindee Zimmer,150,Denver Psilocybin Initiative,NA,NA,NA,Graphic Design,Marketing and advertising,2837 Federal Blvd,NA,Denver,CO,'80211',No,No,No,NA,NA,NA
4/9/2019,2019,NA,NA,Staples,337.38,Denver Right to Survive Initiative Committee,NA,NA,NA,photocopies,Marketing and advertising,870 S. Colorado Blvd,NA,Denver,CO,'80246',No,No,No,NA,NA,NA
4/9/2019,2019,NA,NA,NameCheap,6,Shayla R Richard,City Council,11,NA,web services,Online expense,12227 E 52nd AVENUE DR,NA,Denver,CO,'80239',No,No,No,Shayla Richard,NA,NA
4/9/2019,2019,NA,NA,LAZ Parking,2310,Together Denver,NA,NA,NA,Parking,Parking,PO Box 912998,NA,Denver,CO,'80291',No,No,No,NA,NA,NA
4/9/2019,2019,NA,NA,Port City Cynergy,4000,Together Denver,NA,NA,NA,Community engagement and outreach,Outreach,10050 E Harvard Ave.,NA,Denver,CO,'80231',No,No,No,NA,NA,NA
4/9/2019,2019,NA,NA,GODADDY,5.21,Lopez for Denver,Clerk and Recorder,NA,NA,Web SVcs,Online expense,14455 North Hayden Road Suite 100,NA,Scottsdale,AZ,'85260',No,No,No,Paul López,NA,NA
4/9/2019,2019,NA,NA,Julibee LLC,520,Candi for Council,City Council,9,NA,graphic design,Marketing and advertising,2733 Hazel Ct.,NA,Denver,CO,'80211',No,No,No,Candi CdeBaca,NA,NA
4/9/2019,2019,NA,NA,Jessica Campbell-Swanson,3500,Candi for Council,City Council,9,NA,Campaign Manager,Staffing,5477 E. Briarwood Cir.,NA,Centennial,CO,'80122',No,No,No,Candi CdeBaca,NA,NA
4/9/2019,2019,NA,NA,Rachel Caine,2000,Ortega at Large,City Council At-Large,NA,NA,Campaign Management,Staffing,800 Pearl St #1007,NA,Denver,CO,'80203',No,No,No,Deborah Ortega,NA,NA
4/9/2019,2019,NA,NA,Solidarity Communications,500,Committee to Elect Christine Alonzo to City Council District 11,City Council,11,NA,Campaign Management,Staffing,Denver,NA,Denver,CO,'80202',No,No,No,Christine Alonzo,NA,NA
4/9/2019,2019,NA,NA,Mobilize America,250,Hancock for Denver,Mayor,NA,NA,Office Software,Online expense,87-89 5th Ave.  Suite 701,NA,New York,NY,'10003',No,No,No,Michael Hancock,NA,NA
4/9/2019,2019,NA,NA,"Superior Blue Strategies, Inc.",1125,Blair Taylor for Denver,City Council,8,NA,campaign mailers,Mail,4209 Dandridge Ter.,NA,Alexandria,VA,'22309',No,No,No,Blair Taylor,NA,NA
4/9/2019,2019,NA,NA,Public Works,2,Kalyn 4 Mayor,Mayor,NA,NA,Parking Meter,Parking,201 W Colfax Avenue,NA,Denver,CO,'80202',No,No,No,Kalyn Heffernan,NA,NA
4/8/2019,2019,NA,NA,Adobe Systems Inc.,79.49,Hancock for Denver,Mayor,NA,NA,Office Software,Online expense,345 Park Ave.,NA,San Jose,CA,'95110',No,No,No,Michael Hancock,NA,NA
4/8/2019,2019,NA,NA,Mad Dog Mail,5112.9,Chris for Denver,City Council,10,NA,Mail,Mail,463688 State Road 200,NA,Yulee,FL,'32097',No,No,No,Chris Hinds,NA,NA
4/8/2019,2019,NA,NA,Brand The Republic,750,Denver County Republican Central Committee PAC,NA,NA,NA,Marketing,Marketing and advertising,5281 S. Quebec Street,NA,Greenwood Village,CO,'80111',No,No,No,NA,NA,NA
4/8/2019,2019,NA,NA,Brand The Republic,750,Denver County Republican Central Committee PAC,NA,NA,NA,Marketing,Marketing and advertising,5281 S. Quebec Street,NA,Greenwood Village,CO,'80111',No,No,No,NA,NA,NA
4/8/2019,2019,NA,NA,Brand The Republic,750,Denver County Republican Central Committee PAC,NA,NA,NA,Marketing,Marketing and advertising,5281 S. Quebec Street,NA,Greenwood Village,CO,'80111',No,No,No,NA,NA,NA
4/8/2019,2019,NA,NA,SWdigital,1237,Susman for City Council,City Council,5,NA,Video,Marketing and advertising,4932 Osceola St,NA,Denver,CO,'80212',No,No,No,Mary Beth Susman,NA,NA
4/8/2019,2019,NA,NA,"Mission Control, Inc.",10000,Perl for Denver,Clerk and Recorder,NA,NA,Mailing,Mail,624 Hebron Ave Ste 200,NA,Glastonbury,CT,'06033',No,No,No,Margaret Perl,NA,NA
4/8/2019,2019,NA,NA,Kin Collective,240,Committee for Veronica Barela Dist. 3,City Council,3,NA,"CHECK # 1039, graphic design",Marketing and advertising,3701 Race Street,NA,Denver,CO,'80205',No,No,No,Veronica Barela,NA,NA
4/8/2019,2019,NA,NA,C & D Printing,2649.35,Sabrina for NW Denver,City Council,1,NA,Direct Mailer,Mail,5351 Tennyson St. Unit 1-C,NA,Denver,CO,'80212',No,No,No,Sabrina D'Agosta,NA,NA
4/8/2019,2019,NA,NA,Porter Bennett,2000,Committee to Elect Stacie Gilmore,City Council,11,NA,Campaign Manager,Staffing,3310 N. Lafayette St.,NA,Denver,CO,'80205',No,No,No,Stacie Gilmore,NA,NA
4/8/2019,2019,NA,NA,Facebook,196.43,Mendez for Denver,City Council,10,NA,Digital Marketing,Marketing and advertising,1 Hacker Way,NA,Menlo Park,CA,'94025',No,No,No,Antonio Mendez,NA,NA
4/8/2019,2019,NA,NA,Engage Strategies,1825.57,Sawyer for Denver City Council,City Council,5,NA,Campaign advisor,Marketing and advertising,1312 17th St,NA,Denver,CO,'80202',No,No,No,Amanda Sawyer,NA,NA
4/8/2019,2019,NA,NA,Bilingual Communication Services,850,Together Denver,NA,NA,NA,Community outreach,Outreach,3184 W. 39th Ave,NA,Denver,CO,'80211',No,No,No,NA,NA,NA
4/7/2019,2019,NA,NA,Reach Progress PBC,300,Lisa For Denver Mayor,Mayor,NA,NA,Campaign Software,Online expense,48-21 40th Street,NA,Sunnyside,NY,'11104',No,No,No,Lisa  Calderón,NA,NA
4/6/2019,2019,NA,NA,Stacie Thyfault,1000,Kendra Black for District 4 City Council,City Council,4,NA,Campaign manager,Staffing,6196 S Longview St,NA,Littleton,CO,'80120',No,No,No,Kendra Black,NA,NA
4/6/2019,2019,NA,NA,CD Printing,222.07,Annie for Denver District 3,City Council,3,NA,Campaign Literature,Supplies,5351 Tennyson St #1c,NA,Denver,CO,'80212',No,No,No,Annamarie Martinez,NA,NA
4/5/2019,2019,NA,NA,Superior Blue Strategies,27473.33,Albus Brooks for City Council,City Council,9,NA,mail and walk piece,Mail,4209 Dandridge Ter,NA,Alexandria,VA,'22309',No,No,No,Albus Brooks,NA,NA
4/5/2019,2019,NA,NA,Evan Semon,250,Hancock for Denver,Mayor,NA,NA,Photography Services,Marketing and advertising,970 Pennsylvania St.,NA,Denver,CO,'80203',No,No,No,Michael Hancock,NA,NA
4/5/2019,2019,NA,NA,Ground Organizing for Latinos,15059,Hancock for Denver,Mayor,NA,NA,Outreach,Outreach,3960 West 44th Ave.,NA,Denver,CO,'80205',No,No,No,Michael Hancock,NA,NA
4/5/2019,2019,NA,NA,Joshua Gondrig,50,Committee to Elect Christine Alonzo to City Council District 11,City Council,11,NA,Canvasing,Canvassing,Denver,NA,Denver,CO,'80239',No,No,No,Christine Alonzo,NA,NA
4/5/2019,2019,NA,NA,Canva,9.13,Denver Psilocybin Initiative,NA,NA,NA,Graphic Design,Marketing and advertising,2 Lacey St. Level 2,NA,Surrey,AS,'02010',No,No,No,NA,NA,NA
4/5/2019,2019,NA,NA,Write Stuff Strategies,3200,Let Denver Vote,NA,NA,NA,Campaign Management,Staffing,P.O. Box 100093,NA,Denver,CO,'80250',No,No,No,NA,NA,NA
4/5/2019,2019,NA,NA,Legacy Consulting,4703,Praj Kulkarni for District 1,City Council,1,NA,"Signs, digital, etc.",Supplies,1851 S Lincoln St,NA,Denver,CO,'80210',No,No,No,Prajwal Kulkarni,NA,NA
4/4/2019,2019,NA,NA,Amy Feiman Graphic Design,375,Kendra Black for District 4 City Council,City Council,4,NA,literature design,Supplies,3200 E. Flora Pl.,NA,Denver,CO,'80210',No,No,No,Kendra Black,NA,NA
4/4/2019,2019,NA,NA,The Paladin Group,800,Colleen 4 Denver,City Council,4,NA,Walk literature hand outs,Supplies,1225 N Wells St 626,NA,Chicago,IL,'60610',No,No,No,Colleen Zahradnicek,NA,NA
4/4/2019,2019,NA,NA,Legacy Independent Expenditure,50.75,Mark Gibson,City Council,5,NA,Digital to Oppose Mary Beth Susman,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Mary Beth Susman,NA,Oppose
4/4/2019,2019,NA,NA,Legacy Independent Expenditure,50.75,Mark Gibson,Mayor,NA,NA,Digital to Oppose Michael Hancock,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Michael Hancock,NA,Oppose
4/3/2019,2019,NA,NA,Nick Land,3000,Friends for Chris Herndon,City Council,8,NA,Campaign management,Staffing,19695 Clubhouse Dr. #222,NA,Parker,CO,'80138',No,No,No,Christopher Herndon,NA,NA
4/3/2019,2019,NA,NA,Kapco Consulting,1500,Jamie Torres for Council,City Council,3,NA,campaign manager,Staffing,"2367 South Monaco Pkwy., Unit C",NA,Denver,CO,'80222',No,No,No,Jamie Torres,NA,NA
4/3/2019,2019,NA,NA,Engage Strategies,6737.43,Sawyer for Denver City Council,City Council,5,NA,Campaign advisor,Marketing and advertising,1312 17th St,NA,Denver,CO,'80202',No,No,No,Amanda Sawyer,NA,NA
4/3/2019,2019,NA,NA,ACTBLUE,240.7,Lopez for Denver,Clerk and Recorder,NA,NA,Web Svcs,Online expense,PO Box 441146,NA,Somerville,MA,'02144',No,No,No,Paul López,NA,NA
4/3/2019,2019,NA,NA,Evan Semon,400,Susman for City Council,City Council,5,NA,Photos,Marketing and advertising,4309 W 44th Ave,NA,Denver,CO,'80212',No,No,No,Mary Beth Susman,NA,NA
4/2/2019,2019,NA,NA,RevUp Software,1000,Hancock for Denver,Mayor,NA,NA,Office Software,Online expense,3 Twin Dolphin Dr. Suite 100,NA,Redwood City,CA,'94065',No,No,No,Michael Hancock,NA,NA
4/2/2019,2019,NA,NA,MailChimp,52.16,Jamie For Denver,Mayor,NA,NA,Voter Contact,Canvassing,675 Ponce de Leon Ave NE  Suite 5000,NA,Atlanta,GA,'30308',No,No,No,Jamie Giellis,NA,NA
4/2/2019,2019,NA,NA,NGP VAN Inc,150,Perl for Denver,Clerk and Recorder,NA,NA,monthly software license,Online expense,1445 New York Ave NW Ste 200,NA,Washington,DC,'20005',No,No,No,Margaret Perl,NA,NA
4/2/2019,2019,NA,NA,Solidarity Communications,908,Chris for Denver,City Council,10,NA,Video and online production,Marketing and advertising,1415 Park Ave W,NA,Denver,CO,'80205',No,No,No,Chris Hinds,NA,NA
4/2/2019,2019,NA,NA,GSuite,78.05,Scott 4 Denver,City Council,1,NA,Mail,Mail,1600 Amphitheatre Parkway,NA,Mountain View,CA,'94043',No,No,No,Scott Durrah,NA,NA
4/2/2019,2019,NA,NA,NGP VAN,775,Tate for Mayor,Mayor,NA,NA,DATABASE AND COMPLIANCE SOFTWARE,Online expense,1445 NEW YORK AVE NW #300,NA,Washington,DC,'20005',No,No,No,Penfield Tate,NA,NA
4/2/2019,2019,NA,NA,Legacy Independent Expenditure,7.5,Mark Gibson,City Council,5,NA,Digital to Oppose Mary Beth Susman,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Mary Beth Susman,NA,Oppose
4/2/2019,2019,NA,NA,Legacy Independent Expenditure,7.5,Mark Gibson,Mayor,NA,NA,Digital to Oppose Michael Hancock,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Michael Hancock,NA,Oppose
4/1/2019,2019,NA,NA,Anna Abeyta,200,Committee for Veronica Barela Dist. 3,City Council,3,NA,"CHECK # 1035, banner installation reimbursement",Supplies,7150 Clay St,NA,Westminster,CO,'80030',No,No,No,Veronica Barela,NA,NA
4/1/2019,2019,NA,NA,Lisa Mia,400,Kniech for Council At-Large,City Council At-Large,NA,NA,Photography,Marketing and advertising,2730 Grove St,NA,Denver,CO,'80211',No,No,No,Robin Kniech,NA,NA
4/1/2019,2019,NA,NA,Christina Sandhoff,3060,Together Denver,NA,NA,NA,Community outreach,Outreach,11223 Plover Cir.,NA,Parker,CO,'80134',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,K-Solutions,4000,Together Denver,NA,NA,NA,Community outreach,Outreach,3031 Dexter St.,NA,Denver,CO,'80207',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,Alvertis Simmons,1200,Together Denver,NA,NA,NA,Community outreach,Outreach,PO Box 202991,NA,Denver,CO,'80220',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,Jordan Finegan,4000,Together Denver,NA,NA,NA,Community outreach,Outreach,1444 Saint Paul St.,NA,Denver,CO,'80206',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,Evan Semon Photography,300,Together Denver,NA,NA,NA,Photography,Marketing and advertising,780 Ash St,NA,Denver,CO,'80220',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,Nathan Steele,500,Friends for Kevin Flynn,City Council,2,NA,Campaign management,Staffing,925 E 8th Ave. #105,NA,Denver,CO,'80218',No,No,No,Kevin Flynn,NA,NA
4/1/2019,2019,NA,NA,Legacy Consulting,20150,Praj Kulkarni for District 1,City Council,1,NA,"Mailers, texting, additional digital, etc.",Mail,1851 S Lincoln St,NA,Denver,CO,'80210',No,No,No,Prajwal Kulkarni,NA,NA
4/1/2019,2019,NA,NA,Kara Powell,3302.54,Albus Brooks for City Council,City Council,9,NA,Deputy Campaign Manager and expense reimbursement,Staffing,62 S Monroe Street,NA,Denver,CO,'80209',No,No,No,Albus Brooks,NA,NA
4/1/2019,2019,NA,NA,Kwon Atlas,3000,Albus Brooks for City Council,City Council,9,NA,Campaign Manager,Staffing,"4400 S Quebec St., B205",NA,Denver,CO,'80237',No,No,No,Albus Brooks,NA,NA
4/1/2019,2019,NA,NA,Evan Semon Photography,550,Albus Brooks for City Council,City Council,9,NA,Photography,Marketing and advertising,780 Ash,NA,Denver,CO,'80220',No,No,No,Albus Brooks,NA,NA
4/1/2019,2019,NA,NA,Sam Mote,150,Committee to Elect Christine Alonzo to City Council District 11,City Council,11,NA,Canvasing,Canvassing,Denver,NA,Denver,CO,'80219',No,No,No,Christine Alonzo,NA,NA
4/1/2019,2019,NA,NA,GoDaddy,79.99,Susman for City Council,City Council,5,NA,Web hosting,Online expense,14455 North Hayden Rd #219,NA,Scottsdale,AZ,'85260',No,No,No,Mary Beth Susman,NA,NA
4/1/2019,2019,NA,NA,Port City Cynergy,9000,Together Denver,NA,NA,NA,Voter outreach services,Canvassing,10050 E Harvard Ave.,NA,Denver,CO,'80231',No,No,No,NA,NA,NA
4/1/2019,2019,NA,NA,Legacy Independent Expenditure,15,Mark Gibson,City Council,5,NA,Digital to Oppose Mary Beth Susman,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Mary Beth Susman,NA,Oppose
4/1/2019,2019,NA,NA,Legacy Independent Expenditure,15,Mark Gibson,Mayor,NA,NA,Digital to Oppose Michael Hancock,Online expense,NA,NA,NA,NA,NA,No,No,Yes,Michael Hancock,NA,Oppose
3/31/2019,2019,NA,NA,M Sauer,1000,Replin for District 5,City Council,5,NA,Marketing and Web Assistance,Marketing and advertising,14073 E. Stanford Circle,NA,Aurora,CO,'80015',No,No,No,Stephen Replin,NA,NA
3/31/2019,2019,NA,NA,Facebook,24.94,Erik Penn for Denver City Council District 8,City Council,8,NA,Marketing,Marketing and advertising,1 Hacker Way,NA,Menlo Park,CA,'94025',No,No,No,Erik Penn,NA,NA
3/31/2019,2019,NA,NA,Mavericks,10,Committee of the People to Elect Miguel Ceballos-Ruiz,City Council,8,NA,Transportation Fuel,Travel,3755 Chambers Rd,NA,Aurora,CO,'80011',No,No,No,Miguel Ceballos-Ruiz,NA,NA
3/31/2019,2019,NA,NA,victorystore.com,326.88,Jonathan P. Woodley for Denver,City Council,9,NA,marketing,Marketing and advertising,5200 30th street,NA,Davenport,IA,'52802',No,No,No,Jonathan Woodley,NA,NA
3/30/2019,2019,NA,NA,WizBang Solutions,6370.51,Wayne New for City Council,City Council,10,NA,Campaign Ad,Marketing and advertising,6747 East 50th Ave,NA,Commerce City,CO,'80022',No,No,No,Wayne New,NA,NA
3/30/2019,2019,NA,NA,"Sunset Printing, LLC",2904.94,Wayne New for City Council,City Council,10,NA,Campaign Ad,Marketing and advertising,2253 West College Ave,NA,Englewood,CO,'80110',No,No,No,Wayne New,NA,NA
3/30/2019,2019,NA,NA,TURN IT BLUE DIGITAL TOOL KITS,9749.7,Somma for Denver District 1,City Council,1,NA,MAILINGS,Mail,"1919 14TH STREET, SUITE 700",NA,Boulder,CO,'80302',No,No,No,Michael Somma,NA,NA
3/29/2019,2019,NA,NA,Towne Park LTD,20,Tony Pigford,City Council At-Large,NA,NA,Parking,Parking,1321 Bannock St.,NA,Denver,CO,'80204',No,No,No,Anthony Pigford,NA,NA
3/29/2019,2019,NA,NA,Hanna Design Inc.,660,McCarthy for Denver Clerk,Clerk and Recorder,NA,NA,Logo design,Marketing and advertising,"5400 Greenwood Plaze Blvd., Ste A",NA,Greenwood Village,CO,'80111',No,No,No,Sarah McCarthy,NA,NA
3/29/2019,2019,NA,NA,Southern Utah Wilderness Alliance,45,Ortega at Large,City Council At-Large,NA,NA,Charity donation,Donation,425 E 100 S,NA,Salt Lake City,UT,'84111',No,No,No,Deborah Ortega,NA,NA
3/29/2019,2019,NA,NA,Robodial - Stripe,185.77,Lisa For Denver Mayor,Mayor,NA,NA,Marketing,Marketing and advertising,510 Townsend Street,NA,San Francisco,CA,'94103',No,No,No,Lisa  Calderón,NA,NA
